Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
KLRG2	"CLEC15B, FLJ44186"	ENSG00000188883	"Killer cell lectin like receptor G2"	A4D1S0	7	139452690-139483673	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 3.8;salivary gland: 4.2;thyroid gland: 4.0"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 1: 6.9;Basal squamous epithelial cells: 9.5;Collecting duct cells: 5.8;Erythroid cells: 4.2;Squamous epithelial cells: 13.9;Syncytiotrophoblasts: 6.8"	"Group enriched"	"Detected in some"	7	"fibroblast: 9.6;hippocampal CA1-3: 3.3"	"Cancer enriched"	"Detected in many"	8	"Testicular Germ Cell Tumor (TCGA): 47.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 11.8"	"Lung - Alveolar cells type 1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA018199	Uncertain		Uncertain	Nucleoplasm			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 6: Non-specific - Immune response"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 12: Squamous epithelial cells - Keratinization"		Nucleoplasm		"HPA018199: AB_2133260"	"unprognostic (2.34e-2)"	"unprognostic (1.50e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.24e-2)"					"unprognostic (4.38e-2)"				"unprognostic (7.47e-3)"			"unprognostic (4.90e-4)"	"unprognostic (5.48e-2)"	"unprognostic (4.36e-3)"	"unprognostic (4.91e-2)"	"unprognostic (2.00e-1)"	"unprognostic (3.89e-2)"								"unprognostic (1.86e-1)"	"unprognostic (3.61e-3)"	"unprognostic (1.03e-2)"
KNSTRN	"C15orf23, FLJ14502, kinastrin, SKAP, TRAF4AF1"	ENSG00000128944	"Kinetochore localized astrin (SPAG5) binding protein"	Q9Y448	15	40382721-40394288	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 61.3;thyroid gland: 51.5"	"Cell type enriched"	"Detected in many"	4	"Late spermatids: 673.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Sebaceous gland cells, Spleen - Mitotic cells (Spleen), Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA042027	Enhanced		Enhanced	"Plasma membrane,Mitotic spindle,Centriolar satellite"			Yes	Yes			"Cluster 40: Monocytes - Innate immune response"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 34: Non-specific - Mixed function"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 11: Late spermatids - Unknown function"	39	"Mitotic spindle, Centriolar satellite"	"Plasma membrane"	"HPA042027: AB_10797378"	"unprognostic (3.77e-3)"	"unprognostic (4.77e-3)"		"unprognostic (6.90e-2)"	"unprognostic (2.22e-1)"	"unprognostic (2.40e-1)"	"unprognostic (1.71e-1)"	"unprognostic (3.95e-3)"	"unprognostic (1.70e-2)"	"unprognostic (1.98e-4)"	"unprognostic (1.83e-3)"	"unprognostic (1.49e-4)"	"unprognostic (8.83e-4)"	"unprognostic (5.39e-5)"		"unprognostic (1.42e-7)"	"unprognostic (5.97e-4)"	"unprognostic (5.86e-2)"	"unprognostic (2.72e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.71e-2)"	"unprognostic (1.83e-6)"	"unprognostic (5.91e-3)"	"unprognostic (1.55e-1)"	"unprognostic (1.70e-1)"	"unprognostic (8.32e-2)"	"unprognostic (1.78e-2)"	"unprognostic (3.29e-1)"	"unprognostic (1.88e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.05e-2)"
KRT7	"CK-7, CK7, K2C7, K7, SCL"	ENSG00000135480	"Keratin 7"	P08729	12	52232520-52252186	"Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"salivary gland: 856.8;thyroid gland: 420.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 8394.3;Alveolar cells type 2: 2030.6;Ductal cells: 2259.6;Extravillous trophoblasts: 4906.6;Mucus glandular cells: 2614.0;Pancreatic endocrine cells: 2519.8"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bladder Urothelial Carcinoma (TCGA): 2023.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Mesothelial cells, Liver - Cholangiocyte, Minor Salivary Gland - Minor salivary glandular cells, Pancreas - Ductal cells, Skin - Eccrine sweat gland cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB000028, HPA007272, HPA007315, CAB079970, CAB080115"	Enhanced		Supported	"Intermediate filaments,Cytosol"			NA	NA		880000000		"Cluster 38: Salivary gland - Salivary secretion"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	6	"Intermediate filaments, Cytosol"		"CAB000028: AB_2134589, CAB079970: , CAB080115: , HPA007272: AB_1079181, HPA007315: "	"unprognostic (8.82e-2)"	"unprognostic (4.25e-3)"	"unprognostic (9.01e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.33e-1)"			"unprognostic (1.05e-1)"	"unprognostic (2.77e-2)"	"unprognostic (7.09e-2)"	"unprognostic (4.48e-2)"	"unprognostic (8.40e-8)"	"unprognostic (1.06e-1)"	"unprognostic (1.61e-2)"	"unprognostic (9.89e-6)"	"unprognostic (9.33e-2)"	"unprognostic (8.91e-2)"	"unprognostic (1.11e-2)"	"unprognostic (9.18e-5)"	"unprognostic (2.14e-3)"	"unprognostic (3.50e-5)"	"unprognostic (5.26e-3)"	"unprognostic (2.70e-2)"	"unprognostic (8.53e-2)"	"unprognostic (1.32e-1)"	"unprognostic (2.11e-1)"	"unprognostic (2.40e-1)"	"unprognostic (3.35e-2)"	"unprognostic (5.83e-2)"	"unprognostic (3.45e-2)"
LPCAT2	"AGPAT11, AYTL1, FLJ20481, LPLAT9, LysoPAFAT"	ENSG00000087253	"Lysophosphatidylcholine acyltransferase 2"	Q7L5N7	16	55509072-55586666	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 87.4;thyroid gland: 83.8"	"Cell type enhanced"	"Detected in many"		"granulocytes: 146.7;Microglial cells: 214.7;monocytes: 126.2"	"Cell type enriched"	"Detected in many"	7	"central nervous system macrophage: 962.4"	"Cancer enhanced"	"Detected in all"		"Thyroid Carcinoma (TCGA): 41.8"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 151.7;eosinophil: 199.7"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 199.7"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Adrenal gland - Adrenal cortex cells, Skeletal muscle - Endothelial cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007891, HPA008433"	Enhanced	Supported	Supported	"Endoplasmic reticulum,Lipid droplets"			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 40: Non-specific - Transcription"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 30: Granulocytes - Unknown function"	25	"Endoplasmic reticulum"	"Lipid droplets"	"HPA007891: AB_1845223, HPA008433: "	"unprognostic (1.71e-1)"	"unprognostic (1.71e-1)"	"unprognostic (9.36e-2)"	"unprognostic (8.26e-2)"	"unprognostic (5.99e-2)"	"unprognostic (8.32e-2)"	"unprognostic (3.30e-1)"	"unprognostic (2.08e-1)"	"unprognostic (3.11e-3)"	"unprognostic (2.03e-1)"	"unprognostic (6.77e-3)"	"unprognostic (2.17e-1)"	"unprognostic (1.78e-1)"	"unprognostic (5.61e-4)"	"unprognostic (2.20e-4)"	"unprognostic (3.24e-2)"	"unprognostic (1.73e-2)"	"unprognostic (4.54e-1)"	"unprognostic (8.50e-2)"	"unprognostic (2.98e-2)"	"unprognostic (2.13e-1)"	"unprognostic (8.68e-4)"	"unprognostic (3.76e-1)"	"unprognostic (1.03e-1)"	"unprognostic (3.29e-1)"	"unprognostic (9.85e-2)"	"unprognostic (1.52e-1)"	"unprognostic (8.50e-3)"	"unprognostic (3.33e-2)"	"unprognostic (3.01e-1)"	"unprognostic (6.45e-2)"
LRP1B	"LRP-DIT, LRPDIT"	ENSG00000168702	"LDL receptor related protein 1B"	Q9NZR2	2	140231423-142131016	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	Endocytosis	Receptor	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 9.7;thyroid gland: 5.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 2010.5;Excitatory neurons: 3622.5;Inhibitory neurons: 2793.9;Oligodendrocyte precursor cells: 5225.5;Oligodendrocytes: 1119.5"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 4.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 3.3"	"Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA069094, HPA074788"	Approved		Approved	Vesicles			NA	NA		510000		"Cluster 33: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"	4	Vesicles		"HPA069094: AB_2686082, HPA074788: AB_2797273"		"unprognostic (4.77e-3)"	"unprognostic (3.27e-1)"				"unprognostic (1.11e-1)"	"unprognostic (1.91e-2)"																							
LRP8	"APOER2, HSZ75190, LRP-8, MCI1"	ENSG00000157193	"LDL receptor related protein 8"	Q14114	1	53242364-53328469	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Endocytosis, Host-virus interaction"	Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 23.3;thyroid gland: 40.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 29.1;Bipolar cells: 40.2;Excitatory neurons: 34.7;Horizontal cells: 50.4;Inhibitory neurons: 111.8;Microglial cells: 41.2;Sertoli cells: 35.4"	"Cell type enhanced"	"Detected in all"		"MGE interneuron: 249.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Pituitary gland - Corticotropes, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA073031	Enhanced				"Secreted in other tissues"	Receptor	NA	NA		43000000	"Cluster 20: Non-specific - DNA binding"	"Cluster 28: Neuronal - Transcription"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 8: Neurons - Neuronal signaling"	17			"HPA073031: AB_2732217"	"unprognostic (5.65e-2)"	"unprognostic (9.23e-3)"	"unprognostic (1.03e-2)"	"unprognostic (1.14e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.98e-1)"	"unprognostic (2.86e-1)"	"unprognostic (2.23e-3)"	"unprognostic (4.46e-2)"	"unprognostic (1.29e-2)"	"unprognostic (2.67e-10)"	"unprognostic (2.09e-4)"	"unprognostic (1.15e-6)"			"unprognostic (9.57e-5)"	"unprognostic (1.19e-1)"	"unprognostic (7.65e-3)"	"unprognostic (2.06e-3)"	"unprognostic (7.16e-2)"	"unprognostic (1.51e-1)"	"unprognostic (8.78e-2)"	"unprognostic (3.59e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.64e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.84e-1)"	"unprognostic (5.36e-3)"	"unprognostic (1.38e-1)"	"unprognostic (7.83e-2)"	"unprognostic (4.50e-2)"
LRRN3	"FIGLER5, FLJ11129, NLRR3"	ENSG00000173114	"Leucine rich repeat neuronal 3"	Q9H3W5	7	111091006-111125454	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 22.5;thyroid gland: 19.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 44.6;Cardiomyocytes: 30.6;Excitatory neurons: 78.4;Horizontal cells: 38.4;Inhibitory neurons: 44.4;Leydig cells: 57.4;Oligodendrocyte precursor cells: 57.5"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	4	"Glioblastoma Multiforme (TCGA): 24.9"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	12	"naive CD4 T-cell: 32.6;naive CD8 T-cell: 31.0"	"Lineage enriched"	"Detected in single"	70	"T-cells: 32.6"	"Cancer enriched"	"Detected in many"	4	"Neuroblastoma: 56.6"	"Adrenal gland - Adrenal cortex cells, Prostate - Fibroblasts, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA043820, HPA046792"	Approved		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 50: Connective tissue cells - ECM organization"	1	"Nucleoplasm, Cytosol"		"HPA043820: AB_2678687, HPA046792: AB_2679810"			"unprognostic (3.47e-2)"			"unprognostic (2.23e-1)"	"unprognostic (6.47e-2)"	"unprognostic (4.22e-2)"									"unprognostic (8.00e-3)"									"unprognostic (8.25e-5)"			"unprognostic (4.48e-1)"	"unprognostic (1.10e-2)"	
MARVELD2	"DFNB49, FLJ30532, MRVLDC2, TRIC"	ENSG00000152939	"MARVEL domain containing 2"	Q8N4S9	5	69415065-69444330	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Hearing		"Deafness, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"thyroid gland: 15.2"	"Low cell type specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"choroid plexus epithelial cell: 20.8;endothelial cell: 45.8;ependymal cell: 16.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Colon enterocytes, Liver - Hepatocytes, Skin - Keratinocyte (other), Testis - Early spermatids, Testis - Spermatocytes, Thyroid gland - Thyroid glandular cells"	"Region enriched"	"Detected in some"	8	"cerebellum: 7.9"	"Low region specificity"	"Detected in all"			"HPA018119, HPA061726"	Uncertain		Supported	"Cell Junctions"			NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 37: Glandular & Luminal cells - Unknown function"	4	"Cell Junctions"		"HPA018119: AB_2669771, HPA061726: AB_2684595"	"unprognostic (5.13e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.19e-1)"	"unprognostic (3.04e-2)"	"unprognostic (1.23e-1)"			"unprognostic (2.15e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.54e-8)"	"unprognostic (2.86e-5)"	"unprognostic (9.23e-2)"	"unprognostic (3.51e-1)"	"unprognostic (3.44e-1)"	"unprognostic (3.39e-2)"	"unprognostic (2.67e-1)"	"unprognostic (9.53e-2)"	"unprognostic (2.78e-1)"	"unprognostic (1.35e-2)"	"unprognostic (5.74e-2)"	"unprognostic (1.24e-1)"	"unprognostic (2.99e-1)"	"unprognostic (8.25e-2)"	"unprognostic (7.74e-3)"	"unprognostic (2.90e-1)"		"unprognostic (4.33e-1)"	"unprognostic (2.30e-1)"	"unprognostic (2.54e-2)"	"unprognostic (2.43e-2)"
MEI4		ENSG00000269964	"Meiotic double-stranded break formation protein 4"	A8MW99	6	77650274-77927045	"Predicted intracellular proteins"	"DNA recombination, Meiosis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"kidney: 4.0;testis: 3.3;thyroid gland: 2.1"	"Cell type enriched"	"Detected in some"	5	"Early spermatids: 111.3"	"Cell type enhanced"	"Detected in many"		"lower rhombic lip: 80.7"	"Cancer enhanced"	"Detected in some"		"Kidney Renal Clear Cell Carcinoma (TCGA): 1.4;Testicular Germ Cell Tumor (TCGA): 1.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Outer root sheath cells, Testis - Early spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 78: Testis - Transcription"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 18: Early spermatids - Unknown function"	33														"unprognostic (8.42e-5)"	"unprognostic (1.75e-2)"																	"unprognostic (2.72e-2)"		
MGAT4C	HGNT-IV-H	ENSG00000182050	"MGAT4 family member C"	Q9UBM8	12	85955666-86838904	"Enzymes, Metabolic proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"brain: 4.4;epididymis: 4.5;testis: 4.6;thyroid gland: 5.8"	"Group enriched"	"Detected in some"	8	"Astrocytes: 831.1;Excitatory neurons: 954.0;Inhibitory neurons: 1374.8"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in single"	14	"Thyroid Carcinoma (TCGA): 5.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 1.4;Neuroblastoma: 1.3;testis cancer: 2.7"	"Colon - Enteric glia cells, Liver - Hepatic stellate cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA016418	Approved		Approved	"Vesicles,Plasma membrane,Centriolar satellite"			NA	NA				"Cluster 63: Testis - Spermatid development"	"Cluster 1: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 65: Neurons - Synaptic function"		"Vesicles, Plasma membrane"	"Centriolar satellite"	"HPA016418: AB_2732416"			"unprognostic (6.12e-1)"					"unprognostic (2.12e-3)"																						"unprognostic (1.46e-1)"	
MLNR	GPR38	ENSG00000102539	"Motilin receptor"	O43193	13	49220338-49222377	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 1.3;thyroid gland: 1.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	4	"Testicular Germ Cell Tumor (TCGA): 2.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Not detected"	"Not detected"			HPA070324			Approved	"Plasma membrane,Cytosol"			NA	NA				"Cluster 40: Non-specific - Transcription"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 4: Non-specific - Transcription"			"Plasma membrane, Cytosol"		"HPA070324: "			"unprognostic (4.52e-1)"																										"unprognostic (3.40e-1)"		
MPPED2	"239FB, C11orf8, D11S302E, dJ1024C24.1, dJ873F21.1, FAM1B, Hs.46638"	ENSG00000066382	"Metallophosphoesterase domain containing 2"	Q15777	11	30384493-30586872	"Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 23.6;thyroid gland: 23.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 147.7;Cone photoreceptor cells: 101.9;Excitatory neurons: 104.5;Oligodendrocyte precursor cells: 324.5"	"Cell type enhanced"	"Detected in all"		"pericyte: 819.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"MAIT T-cell: 1.8"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 8.1"	"Pituitary gland - Thyrotropes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA062575			Approved	Nucleoli,Vesicles,Mitochondria			NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 24: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	12	Nucleoli	"Vesicles, Mitochondria"	"HPA062575: AB_2684797"	"unprognostic (3.02e-2)"	"unprognostic (4.41e-2)"	"unprognostic (1.78e-1)"	"unprognostic (4.97e-3)"			"unprognostic (9.18e-2)"	"unprognostic (2.07e-3)"		"unprognostic (2.98e-3)"	"unprognostic (7.54e-9)"	"unprognostic (1.74e-3)"						"unprognostic (1.03e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.84e-2)"	"unprognostic (6.36e-2)"	"unprognostic (7.19e-4)"		"unprognostic (1.30e-1)"			"unprognostic (8.33e-3)"		"unprognostic (1.41e-1)"	"unprognostic (2.53e-2)"	"unprognostic (2.73e-1)"
